meldcode;fabrikant;model;vermogen_kw;naam_koudemiddel;gwp;categorie;subsidiebedrag_2024;subsidiebedrag_2025;bron_2024_url;bron_2025_url;confidence_2024;confidence_2025;match_methode;datum_opgehaald
KA00086;Mastertherm;BA26I;6.0;R410A;2088;Lucht-Water;2850.0;2375.0;https://www.rvo.nl/meldcodes-warmtepompen/ka00086-mastertherm-ba26i;https://www.rvo.nl/meldcodes-warmtepompen/ka00086-mastertherm-ba26i;0.95;0.95;meldcode;2026-03-27
KA00088;Mastertherm;BA45I;12.0;R410A;2088;Lucht-Water;3750.0;3725.0;https://www.rvo.nl/meldcodes-warmtepompen/ka00088-mastertherm-ba45i;https://www.rvo.nl/meldcodes-warmtepompen/ka00088-mastertherm-ba45i;0.95;0.95;meldcode;2026-03-27
KA00089;Mastertherm;AQ22I;7.0;R410A;2088;Grond-Water;4425.0;4425.0;https://www.rvo.nl/meldcodes-warmtepompen/ka00089-mastertherm-aq22i;https://www.rvo.nl/meldcodes-warmtepompen/ka00089-mastertherm-aq22i;0.95;0.95;meldcode;2026-03-27
KA00090;Mastertherm;AQ30I;11.0;R410A;2088;Grond-Water;4575.0;4575.0;https://www.rvo.nl/meldcodes-warmtepompen/ka00090-mastertherm-aq30i;https://www.rvo.nl/meldcodes-warmtepompen/ka00090-mastertherm-aq30i;0.95;0.95;meldcode;2026-03-27
KA00091;Mastertherm;AQ45I;21.0;R410A;2088;Grond-Water;6075.0;6075.0;https://www.rvo.nl/meldcodes-warmtepompen/ka00091-mastertherm-aq45i;https://www.rvo.nl/meldcodes-warmtepompen/ka00091-mastertherm-aq45i;0.95;0.95;meldcode;2026-03-27
KA00309;Nefit;EnviLine A/W Monoblock 5.0 T-S;4.0;R410A;2088;Lucht-Water;2775.0;2125.0;https://www.rvo.nl/meldcodes-warmtepompen/ka00309-nefit-enviline-aw-monoblock-50-t-s;https://www.rvo.nl/meldcodes-warmtepompen/ka00309-nefit-enviline-aw-monoblock-50-t-s;0.95;0.95;meldcode;2026-03-27
KA00310;Nefit;EnviLine A/W Monoblock 7.0 T-S;7.0;R410A;2088;Lucht-Water;3225.0;2800.0;https://www.rvo.nl/meldcodes-warmtepompen/ka00310-nefit-enviline-aw-monoblock-70-t-s;https://www.rvo.nl/meldcodes-warmtepompen/ka00310-nefit-enviline-aw-monoblock-70-t-s;0.95;0.95;meldcode;2026-03-27
KA00311;Nefit;EnviLine A/W Monoblock 9.0 T-S;7.0;R410A;2088;Lucht-Water;3225.0;2800.0;https://www.rvo.nl/meldcodes-warmtepompen/ka00311-nefit-enviline-aw-monoblock-90-t-s;https://www.rvo.nl/meldcodes-warmtepompen/ka00311-nefit-enviline-aw-monoblock-90-t-s;0.95;0.95;meldcode;2026-03-27
KA00312;Nefit;EnviLine A/W Monoblock 13 T-T;10.0;R410A;2088;Lucht-Water;3675.0;3475.0;https://www.rvo.nl/meldcodes-warmtepompen/ka00312-nefit-enviline-aw-monoblock-13-t-t;https://www.rvo.nl/meldcodes-warmtepompen/ka00312-nefit-enviline-aw-monoblock-13-t-t;0.95;0.95;meldcode;2026-03-27
KA00313;Nefit;EnviLine A/W Monoblock 17 T-T;12.0;R410A;2088;Lucht-Water;3975.0;3925.0;https://www.rvo.nl/meldcodes-warmtepompen/ka00313-nefit-enviline-aw-monoblock-17-t-t;https://www.rvo.nl/meldcodes-warmtepompen/ka00313-nefit-enviline-aw-monoblock-17-t-t;0.95;0.95;meldcode;2026-03-27
